,company_name,license_number,email,phone,city,zip,country
0,"ANNABIS, LLC 
Trade Name:",DAAA-EJ8P-RIKU,MATT@STACYLEGALGROUP.COM,4058167228,EARLSBORO,74840,SEMINOLE
1,"OKIE KUSH FARM LLC 
Trade Name: OKIE KUSH FARM LLC","DAAA-MUQP-
MP2I",OKIEKUSH@YAHOO.COM,3053459174,EARLSBORO,74840,POTTAWATOMIE
2,"ROCKWELL INDUSTRIES, LLC 
Trade Name:",DAAA-LYAN-FEQH,A546267426@GMAIL.COM,6463278150,EARLSBORO,74840,SEMINOLE
3,"ABIDE CANNABIS COMPANY, LLC 
Trade Name:",DAAA-IMQ4-4IOC,STEVE@ABIDE420.COM,9729773373,EDMOND,73003,OKLAHOMA
4,"CANNA SOLUTIONS, LLC 
Trade Name: BOGO'S DISPENSARY",DAAA-EKMT-RHVK,CALEB@VAPORSAP.COM,4053392836,EDMOND,73003,OKLAHOMA
5,"EDEN PHARMACEUTICALS EDMOND, LLC 
Trade Name: EDEN PHARMACEUTICALS EDMOND",DAAA-ORZH-RV1B,MICAHAYS12@GMAIL.COM,4055842091,EDMOND,73003,OKLAHOMA
6,"FADED MINDS, LLC 
Trade Name: FADED MINDS, LLC",DAAA-IJ7M-3Z2A,JTBLANCOE@HOTMAIL.COM,5623207123,EDMOND,73003,OKLAHOMA
7,"FRONTIER MEDICINE, LLC 
Trade Name:",DAAA-NKWV-S954,"FRONTIERMEDICINELLC@GMAIL.CO
M",8609843597,EDMOND,73003,OKLAHOMA
8,"MIDWEST CURES 
Trade Name: MIDWEST CURES",DAAA-VJOS-SLOR,DANARGOE@YAHOO.COM,4059062113,EDMOND,73003,OKLAHOMA
9,"MIRACLE MEDS LLC 
Trade Name: MIRACLE MEDS",DAAA-VYTF-RZW5,SWANSONS84@HOTMAIL.COM,9703196123,EDMOND,73003,OKLAHOMA
10,"NATIVE CANNABIS COMPANY, LLC 
Trade Name: NATIVE CANNABIS COMPANY","DAAA-UHMY-
OJ4Q",KYLE@NATIVE-CANNABIS.COM,4055148154,EDMOND,73003,OKLAHOMA
11,"OKLAHOMA COUGHY CO. LLC 
Trade Name: OKLAHOMA COUGHY COMPANY",DAAA-EJPF-SWX7,KENDALLSLABAUGH@GMAIL.COM,5802362391,EDMOND,73003,OKLAHOMA
12,"REMEDY GOODS, LLC 
Trade Name: BRIGHTER DAYS DISPENSARY","DAAA-NKVO-
M0N0",CHRIS.MCELROY.10@GMAIL.COM,4056257886,EDMOND,73003,OKLAHOMA
13,"SERENITY HEALTH LLC II 
Trade Name: EDMOND DISPENSARY - EDMOND ROAD & SANTE FE 
DEPOT",DAAA-N1P2-XTTQ,"SERENITYHEALTH20182@OUTLOOK.
COM",4058859306,EDMOND,73003,OKLAHOMA
14,"SHOWDOWN ENTERPRISES LLC 
Trade Name: ALTVM",DAAA-4K9F-Q4UK,RICKI@ELECTRALEAF.COM,4847975950,EDMOND,73003,OKLAHOMA
